category_name,category_url,product_name,price_raw,rating_raw,reviews_raw,product_url,price,reviews_count,rating,value_score,PRICE_USD,popularity_score
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,Xiaomi Mijia Smart Electric Skipping Rope Real-time Training Guidance Accurate Fitness Data Recording Matrix Screen Display App Connection Happy Efficient Exercise Cordless and Rope Jump Ropes,US$19.99,4.91,23 reviews,https://www.banggood.com/Xiaomi-Mijia-Smart-Electric-Skipping-Rope-Real-time-Training-Guidance-Accurate-Fitness-Data-Recording-Matrix-Screen-Display-App-Connection-Happy-Efficient-Exercise-Cordless-and-Rope-Jump-Ropes-p-2010257.html?cur_warehouse=CN&ID=6294217&rmmds=CategorySportsPop&trace_id=d7971763848627317,19.99,23,4.91,0.24562281140570288,19.99,112.93
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,Mogold Weighted Jump Ropes Adjustable Length Weights 360 Degree Spin Ergonomics Grip Skipping Rope for Fitness Sports Training,US$24.99,,0 review,https://www.banggood.com/Mogold-Weighted-Jump-Ropes-Adjustable-Length-Weights-360-Degree-Spin-Ergonomics-Grip-Skipping-Rope-for-Fitness-Sports-Training-p-2018816.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=d7971763848627317,24.99,0,,,24.99,
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD® USB+Solar Powered Body Fat Scale BMI Scales Smart Wireless Digital Bathroom Weight Scale Body Composition Analyzer,US$18.99,4.8,50 reviews,https://www.banggood.com/KALOAD-USB+Solar-Powered-Body-Fat-Scale-BMI-Scales-Smart-Wireless-Digital-Bathroom-Weight-Scale-Body-Composition-Analyzer-p-2004960.html?cur_warehouse=CN&ID=224&rmmds=CategorySportsPop&trace_id=d7971763848627317,18.99,50,4.8,0.25276461295418645,18.99,240.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD 5-100KG Adjustable Hand Grip Strength Trainer Mechanical Counter Forearm Exerciser Power Strengthener for Gym Fitness Equipment with Counting Function,US$7.99,4.64,14 reviews,https://www.banggood.com/KALOAD-5-100KG-Adjustable-Hand-Grip-Strength-Trainer-Mechanical-Counter-Forearm-Exerciser-Power-Strengthener-for-Gym-Fitness-Equipment-with-Counting-Function-p-2021948.html?cur_warehouse=CN&ID=226&rmmds=CategorySportsPop&trace_id=d7971763848627317,7.99,14,4.64,0.5807259073842302,7.99,64.96
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD Elbow Support Automatic Rebound Abdominal Wheel Core Muscle Ab Trainer Fitness Exercise Roller Wheel,US$39.99,5.0,1 review,https://www.banggood.com/KALOAD-Elbow-Support-Automatic-Rebound-Abdominal-Wheel-Core-Muscle-Ab-Trainer-Fitness-Exercise-Roller-Wheel-p-2019722.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=d7971763848627317,39.99,1,5.0,0.1250312578144536,39.99,5.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD 5-120Kg Handgrip Gym Fitness Hand Grip Strengthener Men Adjustable Finger Heavy Exerciser Strength for Muscle Recovery Hand Gripper Trainer Forearm Strengthener,US$7.99,4.5,6 reviews,https://www.banggood.com/KALOAD-5-120Kg-Handgrip-Gym-Fitness-Hand-Grip-Strengthener-Men-Adjustable-Finger-Heavy-Exerciser-Strength-for-Muscle-Recovery-Hand-Gripper-Trainer-Forearm-Strengthener-p-2027479.html?cur_warehouse=CN&ID=224&rmmds=CategorySportsPop&trace_id=d7971763848627317,7.99,6,4.5,0.5632040050062578,7.99,27.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD Dynamometer Hand Grips Electronic Grip Strengthener LED Display Intelligent Electronic Grip Meter,US$19.99,5.0,5 reviews,https://www.banggood.com/KALOAD-Dynamometer-Hand-Grips-Electronic-Grip-Strengthener-LED-Display-Intelligent-Electronic-Grip-Meter-p-2025281.html?cur_warehouse=CN&ID=233&rmmds=CategorySportsPop&trace_id=d7971763848627317,19.99,5,5.0,0.25012506253126565,19.99,25.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD 5-100kg Adjustable Grip Strength Gym Wrist Expander Hand Strengthener Muscle Recovery Hand Strength Exercise Equipment,US$7.99,4.64,11 reviews,https://www.banggood.com/KALOAD-5-100kg-Adjustable-Grip-Strength-Gym-Wrist-Expander-Hand-Strengthener-Muscle-Recovery-Hand-Strength-Exercise-Equipment-p-2019756.html?cur_warehouse=CN&ID=513344&rmmds=CategorySportsPop&trace_id=d7971763848627317,7.99,11,4.64,0.5807259073842302,7.99,51.04
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD Steel Wire Jump Rope Skipping Rope Fitness Sports Professional Training Home Exercise Equipment for Fat Reduction,US$16.99,,0 review,https://www.banggood.com/KALOAD-Steel-Wire-Jump-Rope-Skipping-Rope-Fitness-Sports-Professional-Training-Home-Exercise-Equipment-for-Fat-Reduction-p-2021971.html?cur_warehouse=CN&ID=6287830&rmmds=CategorySportsPop&trace_id=d7971763848627317,16.99,0,,,16.99,
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,Hand Grip Strengthener Foam Finger Exerciser for Wrist Arm Strength Fitness Rehabilitation Training,US$6.99,4.0,1 review,https://www.banggood.com/Hand-Grip-Strengthener-Foam-Finger-Exerciser-for-Wrist-Arm-Strength-Fitness-Rehabilitation-Training-p-2004325.html?cur_warehouse=CN&ID=224&rmmds=CategorySportsPop&trace_id=d7971763848627317,6.99,1,4.0,0.5722460658082975,6.99,4.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,AB Roller Abdominal Tonifying Wheel Muscle Trainer Exercise Roller for Body Shaping Abs Core Workout Home Gym Fitness Equipment,US$19.99,5.0,3 reviews,https://www.banggood.com/AB-Roller-Abdominal-Tonifying-Wheel-Muscle-Trainer-Exercise-Roller-for-Body-Shaping-Abs-Core-Workout-Home-Gym-Fitness-Equipment-p-2004334.html?cur_warehouse=CN&rmmds=CategorySportsPop&trace_id=d7971763848627317,19.99,3,5.0,0.25012506253126565,19.99,15.0
Fitness Wellness,https://www.banggood.com/Wholesale-Fitness-Wellness-ca-6016.html?bid=80730,KALOAD 40-60lbs Hand Grip Strength Trainer Silicone Forearm Grip Workout Hand Gripper Five Finger Exerciser,US$9.99,,0 review,https://www.banggood.com/KALOAD-40-60lbs-Hand-Grip-Strength-Trainer-Silicone-Forearm-Grip-Workout-Hand-Gripper-Five-Finger-Exerciser-p-2025189.html?cur_warehouse=CN&ID=229&rmmds=CategorySportsPop&trace_id=d7971763848627317,9.99,0,,,9.99,
